TV,Radio,Newspaper,Sales,Total_Spend,TV_Share,Radio_Share,Newspaper_Share,TV_Radio_Synergy,TV_Newspaper_Synergy,Radio_Newspaper_Synergy,TV_Sqrt,Radio_Sqrt,Newspaper_Sqrt,Spend_Tier,Cluster_ID,Market_Segment
230.1,37.8,69.2,22.1,337.09999999999997,0.6825867674797189,0.11213289791713765,0.20528033163666473,8697.779999999999,15922.92,2615.7599999999998,15.16904743218901,6.148170459575759,8.318653737234168,High-Budget Tier,2,Radio-Boosted Metro
44.5,39.3,45.1,10.4,128.9,0.3452288569028017,0.3048875073321372,0.34988362800710915,1748.85,2006.95,1772.4299999999998,6.670832032063167,6.268971207462991,6.715653356152326,Low-Budget Tier,0,Radio-Boosted Metro
17.2,45.9,69.3,9.3,132.39999999999998,0.12990936457772384,0.34667673454171655,0.5234138933276897,789.4799999999999,1191.9599999999998,3180.87,4.147288270665544,6.774953874381729,8.324662155306964,Low-Budget Tier,2,Radio-Boosted Metro
151.5,41.3,58.5,18.5,251.3,0.6028650990733582,0.1643454032457405,0.23278949370159374,6256.95,8862.75,2416.0499999999997,12.30853362509117,6.4265076052238514,7.648529270389178,High-Budget Tier,2,Radio-Boosted Metro
180.8,10.8,58.4,12.9,250.00000000000003,0.7231999971072,0.0431999998272,0.23359999906559997,1952.6400000000003,10558.720000000001,630.72,13.446189051177289,3.286335345030997,7.64198926981712,High-Budget Tier,2,Radio-Boosted Metro
8.7,48.9,75.0,7.2,132.6,0.06561085923370392,0.3687782777618531,0.565610855462965,425.42999999999995,652.5,3667.5,2.949576240750525,6.992853494818835,8.660254037844387,Low-Budget Tier,2,Radio-Boosted Metro
57.5,32.8,23.5,11.8,113.8,0.5052724032928612,0.2882249535305364,0.20650263438925628,1885.9999999999998,1351.25,770.8,7.582875444051551,5.727128425310541,4.847679857416329,Low-Budget Tier,0,Radio-Boosted Metro
120.2,19.6,11.6,13.2,151.4,0.7939233765262657,0.12945838752008992,0.07661822934862464,2355.92,1394.32,227.36,10.963576058932597,4.427188724235731,3.40587727318528,Mid-Budget Tier,1,Conservative / Niche
8.6,2.1,1.0,4.8,11.7,0.7350426722185751,0.17948716414639626,0.0854700781649506,18.06,8.6,2.1,2.932575659723036,1.449137674618944,1.0,Low-Budget Tier,1,Conservative / Niche
199.8,2.6,21.2,10.6,223.6,0.8935599244474065,0.011627906924741025,0.09481216415558066,519.48,4235.76,55.12,14.135062787267696,1.61245154965971,4.604345773288535,Mid-Budget Tier,3,TV-Dominant Reach
66.1,5.8,24.2,8.6,96.1,0.6878251749445872,0.060353797498919906,0.2518210171506658,383.37999999999994,1599.62,140.35999999999999,8.130190649671137,2.4083189157584592,4.919349550499537,Low-Budget Tier,1,Conservative / Niche
214.7,24.0,4.0,17.4,242.7,0.8846312283286724,0.09888751504372677,0.016481252507287793,5152.799999999999,858.8,96.0,14.652644812456213,4.898979485566356,2.0,Mid-Budget Tier,3,TV-Dominant Reach
23.8,35.1,65.9,9.2,124.80000000000001,0.19070512667704226,0.28124999774639425,0.528044867563743,835.3800000000001,1568.42,2313.09,4.878524367060187,5.92452529743945,8.117881497040962,Low-Budget Tier,2,Radio-Boosted Metro
97.5,7.6,7.2,9.7,112.3,0.8682101436490638,0.06767586760751676,0.0641139798387001,741.0,702.0,54.72,9.874208829065749,2.756809750418044,2.6832815729997477,Low-Budget Tier,1,Conservative / Niche
204.1,32.9,46.0,19.0,283.0,0.7212014108791469,0.11625441655033775,0.1625441690369464,6714.889999999999,9388.6,1513.3999999999999,14.286357128393508,5.735852159879995,6.782329983125268,High-Budget Tier,2,Radio-Boosted Metro
195.4,47.7,52.9,22.4,296.0,0.6601351329049489,0.16114864810422755,0.17871621561244522,9320.58,10336.66,2523.33,13.978555004005242,6.906518659932803,7.273238618387272,High-Budget Tier,2,Radio-Boosted Metro
